시도코드,일,시도,합계,경로,국가유공자,어린이,외국인,일반인,장애인,청소년,,시도코드,일,시도,합계,경로,국가유공자,어린이,외국인,일반인,장애인,청소년
27,2024-10-01(화),대구광역시,"331,980","66,661",840,"21,288",0,"230,231","3,888","9,072",,,2024-10-30(수),부산광역시,"1,011,583","160,421","2,992","21,150",57,"744,323","17,020","65,620"
,2024-10-02(수),대구광역시,"476,844","84,420","1,126","46,616",0,"328,564","5,358","10,760",,,2024-10-31(목),부산광역시,"1,011,314","156,793","2,944","20,073",66,"749,723","16,769","64,946"
,2024-10-03(목),대구광역시,"297,933","61,288",768,"20,098",0,"204,448","3,420","7,911",,27,2024-10-17(목),대구광역시,"457,925","84,524","1,145","41,660",0,"315,860","5,400","9,336"
,2024-10-04(금),대구광역시,"465,507","85,365","1,190","36,826",0,"326,307","5,326","10,493",,,2024-10-18(금),대구광역시,"465,427","81,126","1,130","43,216",0,"324,609","5,319","10,027"
,2024-10-05(토),대구광역시,"375,026","68,989",868,"25,755",0,"264,692","4,143","10,579",,,2024-10-19(토),대구광역시,"357,601","62,124",824,"26,354",0,"254,838","3,859","9,602"
,2024-10-06(일),대구광역시,"273,372","53,565",679,"19,888",0,"189,187","3,170","6,883",,,2024-10-20(일),대구광역시,"287,221","55,750",728,"22,445",0,"197,126","3,303","7,869"
,2024-10-07(월),대구광역시,"449,586","82,423","1,188","43,104",0,"308,283","5,296","9,292",,,2024-10-21(월),대구광역시,"449,009","84,129","1,147","40,966",0,"308,089","5,321","9,357"
,2024-10-08(화),대구광역시,"472,795","85,993","1,161","43,914",0,"326,531","5,391","9,805",,,2024-10-22(화),대구광역시,"426,982","72,806",980,"40,392",0,"298,984","4,894","8,926"
,2024-10-09(수),대구광역시,"314,335","64,582",819,"21,880",0,"214,397","3,784","8,873",,,2024-10-23(수),대구광역시,"456,982","83,718","1,141","42,228",0,"314,471","5,392","10,032"
,2024-10-10(목),대구광역시,"462,121","86,381","1,169","42,780",0,"317,190","5,382","9,219",,,2024-10-24(목),대구광역시,"457,833","83,995","1,131","41,711",0,"316,360","5,309","9,327"
,2024-10-11(금),대구광역시,"486,670","86,437","1,149","47,077",0,"335,753","5,539","10,715",,,2024-10-25(금),대구광역시,"494,776","87,116","1,246","43,941",0,"346,620","5,500","10,353"
,2024-10-12(토),대구광역시,"390,298","69,645",943,"28,923",0,"275,258","4,356","11,173",,,2024-10-26(토),대구광역시,"404,208","70,440",912,"28,401",0,"288,603","4,294","11,558"
,2024-10-13(일),대구광역시,"299,280","56,018",721,"22,271",0,"208,917","3,425","7,928",,,2024-10-27(일),대구광역시,"275,268","52,224",664,"20,577",0,"191,487","3,255","7,061"
,2024-10-14(월),대구광역시,"444,131","81,302","1,120","41,125",0,"306,320","5,058","9,206",,,2024-10-28(월),대구광역시,"440,230","80,652","1,106","40,555",0,"303,833","5,099","8,985"
28,2024-10-01(화),인천광역시,"490,664","55,582",833,"7,683","2,017","386,108","10,356","28,085",,,2024-10-29(화),대구광역시,"450,785","83,747","1,112","40,280",0,"311,494","5,328","8,824"
,2024-10-02(수),인천광역시,"752,380","72,790","1,278","7,590","1,981","594,454","14,790","59,497",,,2024-10-30(수),대구광역시,"456,264","82,768","1,094","41,985",0,"315,403","5,276","9,738"
,2024-10-03(목),인천광역시,"480,665","59,004",864,"8,602","1,843","371,328","10,367","28,657",,,2024-10-31(목),대구광역시,"459,899","83,233","1,098","41,053",0,"319,931","5,428","9,156"
,2024-10-04(금),인천광역시,"718,985","73,487","1,215","8,624","2,630","571,816","14,455","46,758",,28,2024-10-17(목),인천광역시,"741,076","74,240","1,248","6,249","2,073","585,918","14,811","56,537"
,2024-10-05(토),인천광역시,"575,216","65,123",952,"10,426","2,029","450,769","11,565","34,352",,,2024-10-18(금),인천광역시,"722,597","64,856","1,130","6,114","2,352","575,130","13,670","59,345"
,2024-10-06(일),인천광역시,"427,254","50,783",726,"7,241","1,219","331,683","9,316","26,286",,,2024-10-19(토),인천광역시,"581,942","66,238",964,"10,393","2,577","452,449","12,066","37,255"
,2024-10-07(월),인천광역시,"731,405","73,077","1,237","6,269","1,367","578,287","14,529","56,639",,,2024-10-20(일),인천광역시,"450,518","54,805",761,"7,493","1,727","345,714","9,913","30,105"
,2024-10-08(화),인천광역시,"759,835","74,596","1,276","7,103","1,550","600,548","15,034","59,728",,,2024-10-21(월),인천광역시,"727,198","73,344","1,246","5,855","1,752","574,269","14,650","56,082"
,2024-10-09(수),인천광역시,"478,705","61,587",859,"9,117","1,274","367,183","10,555","28,130",,,2024-10-22(화),인천광역시,"703,469","64,612","1,129","5,735","1,854","560,125","13,431","56,583"
,2024-10-10(목),인천광역시,"745,790","73,763","1,236","6,400","2,194","588,936","14,698","58,563",,,2024-10-23(수),인천광역시,"733,708","71,595","1,238","6,589","1,801","581,250","14,622","56,613"
,2024-10-11(금),인천광역시,"775,278","74,822","1,241","7,313","2,877","610,348","15,167","63,510",,,2024-10-24(목),인천광역시,"741,011","73,956","1,264","6,134","2,281","586,217","14,594","56,565"
,2024-10-12(토),인천광역시,"589,598","67,548",960,"10,743","2,826","460,290","12,310","34,921",,,2024-10-25(금),인천광역시,"777,739","77,469","1,355","6,858","2,411","610,789","15,256","63,601"
,2024-10-13(일),인천광역시,"443,658","53,996",769,"7,060","1,743","342,480","9,886","27,724",,,2024-10-26(토),인천광역시,"600,243","67,857",968,"10,862","2,390","464,260","12,419","41,487"
,2024-10-14(월),인천광역시,"725,057","71,681","1,251","6,129","1,831","573,137","14,382","56,646",,,2024-10-27(일),인천광역시,"453,326","55,342",757,"7,340","1,875","348,534","9,862","29,616"
29,2024-10-01(화),광주광역시,"117,364","4,201",457,"1,828",0,"98,912",210,"11,756",,,2024-10-28(월),인천광역시,"728,767","74,079","1,266","5,781","1,720","576,698","14,577","54,646"
,2024-10-02(수),광주광역시,"209,072","7,910",835,"2,573",0,"169,238",379,"28,137",,,2024-10-29(화),인천광역시,"729,571","73,279","1,195","5,973","1,621","577,961","14,626","54,916"
,2024-10-03(목),광주광역시,"111,279","4,155",460,"1,737",0,"93,134",224,"11,569",,,2024-10-30(수),인천광역시,"742,382","74,410","1,232","6,446","1,716","587,125","14,958","56,495"
,2024-10-04(금),광주광역시,"199,876","7,360",840,"2,693",0,"164,324",371,"24,288",,,2024-10-31(목),인천광역시,"745,308","73,934","1,239","5,985","1,992","591,747","14,749","55,662"
,2024-10-05(토),광주광역시,"148,174","5,318",600,"2,691",0,"124,950",278,"14,337",,29,2024-10-17(목),광주광역시,"196,199","7,444",805,"2,183",0,"160,196",379,"25,192"
